id,x,y,z,qx,qy,qz,qw
1.7142566496334006e+18,0.3518336457551147,0.4507665216952503,0.1897581641031765,0.80690918590381,0.3927123842801066,0.40986714465730917,-0.16335076573909588
1.7142567219256824e+18,-0.09049561500078251,0.5035141148510733,0.23472392925622937,0.823663373461414,0.36584328551837725,0.3272943489135814,-0.28392912289604433
1.7142567359920584e+18,0.2515665329592469,0.6441629150693606,0.27056614282939573,0.7328148515682613,0.4663104636160116,0.48845206888475295,-0.08337578332712772
1.7142567486914714e+18,0.19462560485571345,0.5809898548197154,0.23073457224049984,0.9147528608977553,0.23232546358838432,0.3051306655394934,-0.12707226052620665
1.7142567740148355e+18,-0.12079066168300263,0.5525863698007274,0.24720346465100662,0.8385686149005037,0.44880556616281014,0.27846074977040713,-0.13355093680851793
1.7142567783268884e+18,0.020578093641961087,0.5663284659981329,0.2482998882996204,0.888215956061221,0.33923784989251954,0.29362568048512805,-0.09886382734952712
1.7142567833276257e+18,0.19515441594125557,0.5395453729030404,0.25610862412011726,0.929810376229968,0.19118918275210536,0.30833236544947146,-0.06189113886495477
1.714256792861573e+18,0.3557650617652039,0.45896292080342593,0.2640637072585076,0.9470570522501475,0.03762467997849672,0.31804096647151164,-0.022743502053200755
1.714256802661359e+18,0.3598644873769484,0.5588417785622118,0.27963743773338257,0.8650278532120584,0.3004690632207684,0.3846541974187832,-0.11613054560572417
1.7142568315650867e+18,0.3410302247885676,0.6899128092730634,0.2639421330504908,0.8445701702891878,0.3040027043392418,0.40425123888165027,-0.17568300735919493
1.714256847590872e+18,0.4985744203162279,0.6010297008997836,0.3278026175109032,0.8064379938693554,0.32796594559942405,0.4884100728811037,-0.059596151547897505
1.7142568508830874e+18,0.4215967846597414,0.6572788572122621,0.328161691237719,0.7880028147743551,0.3734878559003071,0.4799651945274367,-0.09587386215713249
1.714256854110125e+18,0.3196543708595063,0.7010081552441696,0.2943525249104061,0.7651367499416968,0.4455995969280521,0.45112620440759,-0.11176717229587728
1.7142568758813903e+18,0.08308062890512088,0.7303546284435541,0.23808013562228392,0.8469786439909366,0.3212644213234052,0.39303484195816357,-0.15792390959551733
